標題,作者,人氣,日期,連結
Re: [新聞] 成本飆漲建商封盤 房價回不去,zakijudelo,29,11月27日,https://www.ptt.cc/bbs/Stock/M.1606460372.A.47B.html
[其他] 109年11月27日 三大法人買賣金額統計表,coconing,66,11月27日,https://www.ptt.cc/bbs/Stock/M.1606460960.A.B35.html
Re: [新聞] 勞動基金重大弊端 國內投資組長涉貪操縱,dahlia7357,36,11月27日,https://www.ptt.cc/bbs/Stock/M.1606461165.A.761.html
Re: [新聞] 勞動基金重大弊端 國內投資組長涉貪操縱,boob5566,3,11月27日,https://www.ptt.cc/bbs/Stock/M.1606461526.A.689.html
Re: [新聞] 勞動基金重大弊端 國內投資組長涉貪操縱,logate,25,11月27日,https://www.ptt.cc/bbs/Stock/M.1606463206.A.4D6.html
[標的] 順德 短多,NaMgAl,9,11月27日,https://www.ptt.cc/bbs/Stock/M.1606463346.A.07D.html
[新聞] 南韓疫情未見好轉 政府29日決定是否再提,Limoncy,10,11月27日,https://www.ptt.cc/bbs/Stock/M.1606464499.A.543.html
[新聞] 任正非送別榮耀 鼓勵拿著「洋槍」打倒華,d8917936,25,11月27日,https://www.ptt.cc/bbs/Stock/M.1606466043.A.B58.html
[新聞] 三星放話超車台積電 3 奈米，成功機會渺,okbom,64,11月27日,https://www.ptt.cc/bbs/Stock/M.1606467143.A.238.html
[新聞] 韓媒披露沙烏地阿拉伯王儲買下《拳皇》開,CTC0115,8,11月27日,https://www.ptt.cc/bbs/Stock/M.1606467594.A.4AC.html
[新聞] 疫情延燒 民航局：國籍航空前三季累虧逾8,brian791025,8,11月27日,https://www.ptt.cc/bbs/Stock/M.1606467921.A.F5F.html
[新聞] 今涉公款私用╱李世聰昔稱 即使一杯咖啡,shank1995,7,11月27日,https://www.ptt.cc/bbs/Stock/M.1606468132.A.591.html
[新聞] 破2％！主計總處上修今年GDP至2.54％,reason825,99,11月27日,https://www.ptt.cc/bbs/Stock/M.1606469413.A.146.html
Re: [請益] 看完愛榭克的景氣循環投資感覺市場才剛起漲,tensionship,19,11月27日,https://www.ptt.cc/bbs/Stock/M.1606471108.A.DB7.html
[標的] 6531愛普 IC設計多,thumbd000,1,11月27日,https://www.ptt.cc/bbs/Stock/M.1606471555.A.572.html
[新聞] 太陽能產業回升 元晶、茂迪本月完成聯貸,ntupeap,12,11月27日,https://www.ptt.cc/bbs/Stock/M.1606472494.A.7E5.html
[標的] 3711 阿光 多,pupu5877,6,11月27日,https://www.ptt.cc/bbs/Stock/M.1606472822.A.2D9.html
Re: [請益] 看完愛榭克的景氣循環投資感覺市場才剛起漲,CoffeeandTea,8,11月27日,https://www.ptt.cc/bbs/Stock/M.1606472822.A.725.html
[心得] 原來勞動基金投資組長還兼投顧啊？,NowQmmmmmmmm,爆,11月27日,https://www.ptt.cc/bbs/Stock/M.1606475008.A.4AD.html
[新聞] 開發金晚間將重訊 說明收購中國人壽,f204137,42,11月27日,https://www.ptt.cc/bbs/Stock/M.1606475758.A.A02.html
Re: [新聞] 開發金晚間將重訊 說明收購中國人壽,loken0408,31,11月27日,https://www.ptt.cc/bbs/Stock/M.1606477767.A.43D.html
[新聞] 快逃！ 專家恐怖預言：明年美股雪崩40％,NoAfraid,99,11月27日,https://www.ptt.cc/bbs/Stock/M.1606478366.A.7CE.html
[新聞] 高精度地圖圖形著作權 四維圖新與百度互,ynlin1996,3,11月27日,https://www.ptt.cc/bbs/Stock/M.1606478930.A.BB6.html
[新聞] 宏達電鎖定5G O-RAN專網 遠端自駕、連線,peterlin495,34,11月27日,https://www.ptt.cc/bbs/Stock/M.1606479689.A.6BB.html
[新聞] 勞動基金弊案 檢廉拘提寶佳資產管理公司,bamama56,54,11月27日,https://www.ptt.cc/bbs/Stock/M.1606479697.A.CCB.html
[標的] 美股PLTR 多,abc2090614,94,11月27日,https://www.ptt.cc/bbs/Stock/M.1606479777.A.A99.html
[新聞] 勞動基金炒股風波擴大 檢廉第二波搜索拘,y1896547,24,11月27日,https://www.ptt.cc/bbs/Stock/M.1606480078.A.1CB.html
[新聞] 明年人均GDP首度站上3萬美元 新台幣強勢,CavendishJr,91,11月27日,https://www.ptt.cc/bbs/Stock/M.1606480130.A.7A7.html
Re: [標的] 元大金2885，周線請益,koko147,32,11月27日,https://www.ptt.cc/bbs/Stock/M.1606482098.A.300.html
[其他] 109年11月27日信用交易統計,steward135,29,11月27日,https://www.ptt.cc/bbs/Stock/M.1606482450.A.345.html
[新聞] 涉掏空華美電子42億元案 中國深圳普華行,Su22,4,11月27日,https://www.ptt.cc/bbs/Stock/M.1606484338.A.551.html
[新聞] 原油兩倍槓桿ETF本月來飆漲66% 銅ETF同步,jimmmy722,5,11月27日,https://www.ptt.cc/bbs/Stock/M.1606484469.A.F80.html
Re: [新聞] 明年人均GDP首度站上3萬美元 新台幣強勢,andrew0041,15,11月27日,https://www.ptt.cc/bbs/Stock/M.1606486176.A.2EF.html
[標的] 大盤指數(多),ronybaseball,28,11月27日,https://www.ptt.cc/bbs/Stock/M.1606486924.A.28B.html
[新聞] 兆豐前董座蔡友才鑒機案募200億被押 求刑12年僅輕判9月,laptic,28,11月27日,https://www.ptt.cc/bbs/Stock/M.1606489939.A.51B.html
[新聞] 炒股疑雲! 神祕寶佳集團出手動輒數百億,s523698,50,11月28日,https://www.ptt.cc/bbs/Stock/M.1606493324.A.58C.html
Re: [標的] 美股 AMCX (AMC Networks) 不是AMC,justicide,11,11月28日,https://www.ptt.cc/bbs/Stock/M.1606493800.A.66A.html
Re: [心得] 原來勞動基金投資組長還兼投顧啊？,S9125126,12,11月28日,https://www.ptt.cc/bbs/Stock/M.1606495032.A.260.html
Re: [新聞] 勞動基金重大弊端 國內投資組長涉貪操縱,aass5566,8,11月28日,https://www.ptt.cc/bbs/Stock/M.1606495085.A.7F3.html
